industry_id,display_name_cn,sw_code,etf_code,etf_name,match_keyword,match_keyword_count,latest_price,turnover_amount,float_market_cap,candidate_rank
sw_l1_801010,农林牧渔,801010.SI,159865,养殖ETF国泰,养殖,1,0.614,176766617.7,4894473827,1
sw_l1_801030,基础化工,801030.SI,159870,化工ETF鹏华,化工,1,0.865,783091542.016,27277435145,1
sw_l1_801040,钢铁,801040.SI,515210,钢铁ETF国泰,钢铁,1,1.431,114082248.0,2988967043,1
sw_l1_801050,有色金属,801050.SI,512400,有色金属ETF南方,有色金属,2,1.991,1007097536.0,27926839165,1
sw_l1_801080,电子,801080.SI,159732,消费电子ETF华夏,电子,2,1.06,58591588.778,1626514778,1
sw_l1_801110,家用电器,801110.SI,159996,家电ETF国泰,家电,1,1.429,46126384.5,1189720878,1
sw_l1_801120,食品饮料,801120.SI,159736,食品饮料ETF天弘,食品饮料,3,0.653,20126565.712,5119777606,1
sw_l1_801140,轻工制造,801140.SI,515730,家居家电ETF永赢,家居,1,0.951,1273847.0,37937292,1
sw_l1_801150,医药生物,801150.SI,159859,生物医药ETF天弘,医药,2,0.397,219966556.1,4028374880,1
sw_l1_801160,公用事业,801160.SI,159611,电力ETF广发,电力,1,1.09,463033877.325,6603615539,1
sw_l1_801170,交通运输,801170.SI,516910,物流ETF富国,物流,1,1.229,32348945.0,125532272,1
sw_l1_801180,房地产,801180.SI,512200,房地产ETF南方,房地产,2,1.329,580280186.0,5786263737,1
sw_l1_801210,社会服务,801210.SI,159766,旅游ETF富国,旅游,1,0.686,189852336.367,5820806721,1
sw_l1_801710,建筑材料,801710.SI,159745,建材ETF国泰,建材,1,0.66,87566542.1,1691374260,1
sw_l1_801720,建筑装饰,801720.SI,516970,基建ETF广发,基建,1,1.201,32129106.0,1878415038,1
sw_l1_801730,电力设备,801730.SI,159326,电网设备ETF华夏,电网设备,1,1.835,1170221174.803,29894472259,1
sw_l1_801740,国防军工,801740.SI,512710,军工龙头ETF富国,军工,1,0.743,242438485.0,9448477215,1
sw_l1_801750,计算机,801750.SI,159852,软件ETF嘉实,软件,1,0.761,443358183.8,8742842767,1
sw_l1_801760,传媒,801760.SI,517770,游戏传媒ETF浦银,传媒,2,1.064,7892438.0,177632459,1
sw_l1_801770,通信,801770.SI,515880,通信ETF国泰,通信,1,1.081,1204824002.0,14183138425,1
sw_l1_801780,银行,801780.SI,512800,银行ETF华宝,银行,1,0.805,774452276.0,11925495348,1
sw_l1_801790,非银金融,801790.SI,512070,证券保险ETF易方达,证券,2,0.775,297075543.0,15098921702,1
sw_l1_801880,汽车,801880.SI,159565,汽车零部件ETF易方达,汽车,2,1.447,20611464.0,204934603,1
sw_l1_801890,机械设备,801890.SI,560280,工程机械ETF广发,机械,2,1.634,241861517.0,3190796768,1
sw_l1_801950,煤炭,801950.SI,515220,煤炭ETF国泰,煤炭,1,1.225,507374490.0,9829616698,1
sw_l1_801960,石油石化,801960.SI,159518,标普油气ETF嘉实,油气,1,1.372,7186739251.192,2389098416,1
sw_l1_801970,环保,801970.SI,512580,环保ETF广发,环保,1,1.305,16592455.0,932907563,1
