industry_id,display_name_cn,sw_code,etf_code,etf_name,match_keyword,match_keyword_count,latest_price,turnover_amount,float_market_cap,candidate_rank
sw_l1_801010,农林牧渔,801010.SI,159865,养殖ETF国泰,养殖,1,0.614,176766617.7,4894473827,1
sw_l1_801010,农林牧渔,801010.SI,516670,畜牧养殖ETF招商,养殖,1,0.687,56145456.0,1336397951,2
sw_l1_801010,农林牧渔,801010.SI,159867,养殖ETF鹏华,养殖,1,0.627,50017013.4,873814537,3
sw_l1_801010,农林牧渔,801010.SI,159172,养殖ETF汇添富,养殖,1,0.933,19161306.833,366509733,4
sw_l1_801010,农林牧渔,801010.SI,512450,畜牧养殖ETF广发,养殖,1,1.0,74449216.0,249867000,5
sw_l1_801030,基础化工,801030.SI,159870,化工ETF鹏华,化工,1,0.865,783091542.016,27277435145,1
sw_l1_801030,基础化工,801030.SI,516120,化工ETF富国,化工,1,0.941,92185420.0,7705455557,2
sw_l1_801030,基础化工,801030.SI,516020,化工ETF华宝,化工,1,0.921,149693603.0,6036534497,3
sw_l1_801030,基础化工,801030.SI,159981,能源化工ETF建信,化工,1,1.699,3632938199.539,3859341295,4
sw_l1_801030,基础化工,801030.SI,159133,化工ETF天弘,化工,1,1.164,40058324.8,2950057132,5
sw_l1_801040,钢铁,801040.SI,515210,钢铁ETF国泰,钢铁,1,1.431,114082248.0,2988967043,1
sw_l1_801050,有色金属,801050.SI,512400,有色金属ETF南方,有色金属,2,1.991,1007097536.0,27926839165,1
sw_l1_801050,有色金属,801050.SI,516650,有色金属ETF华夏,有色金属,2,1.949,278358089.0,12901336708,2
sw_l1_801050,有色金属,801050.SI,159157,有色金属ETF天弘,有色金属,2,0.847,179134213.374,5410431744,3
sw_l1_801050,有色金属,801050.SI,159881,有色金属ETF国泰,有色金属,2,1.924,26399008.4,190956198,4
sw_l1_801050,有色金属,801050.SI,560860,工业有色ETF万家,有色,1,1.625,250252604.0,10221628768,5
sw_l1_801080,电子,801080.SI,159732,消费电子ETF华夏,电子,2,1.06,58591588.778,1626514778,1
sw_l1_801080,电子,801080.SI,562950,消费电子ETF易方达,电子,2,1.141,22874597.0,688317725,2
sw_l1_801080,电子,801080.SI,561100,消费电子ETF富国,电子,2,1.192,20011530.0,525370300,3
sw_l1_801080,电子,801080.SI,561600,消费电子ETF平安,电子,2,1.104,8879626.0,232142496,4
sw_l1_801080,电子,801080.SI,159779,消费电子ETF招商,电子,2,1.057,24183269.1,159468889,5
sw_l1_801880,汽车,801880.SI,159565,汽车零部件ETF易方达,汽车,2,1.447,20611464.0,204934603,1
sw_l1_801880,汽车,801880.SI,562700,汽车零部件ETF华夏,汽车,2,1.34,14003482.0,179225000,2
sw_l1_801880,汽车,801880.SI,159306,汽车零部件ETF平安,汽车,2,1.286,563532.5,28606576,3
sw_l1_801880,汽车,801880.SI,520600,港股通汽车ETF广发,汽车,1,1.275,485613480.0,724669200,4
sw_l1_801880,汽车,801880.SI,516110,汽车ETF国泰,汽车,1,1.3,27260211.0,580610035,5
sw_l1_801110,家用电器,801110.SI,159996,家电ETF国泰,家电,1,1.429,46126384.5,1189720878,1
sw_l1_801110,家用电器,801110.SI,560880,家电ETF广发,家电,1,1.498,14499565.0,566591536,2
sw_l1_801110,家用电器,801110.SI,159328,家电ETF易方达,家电,1,1.032,579388.4,118222514,3
sw_l1_801110,家用电器,801110.SI,561120,家电ETF富国,家电,1,1.271,11027124.0,70108233,4
sw_l1_801110,家用电器,801110.SI,159730,家电ETF博时,家电,1,1.031,1181640.9,45953052,5
sw_l1_801120,食品饮料,801120.SI,159736,食品饮料ETF天弘,食品饮料,3,0.653,20126565.712,5119777606,1
sw_l1_801120,食品饮料,801120.SI,515170,食品饮料ETF华夏,食品饮料,3,0.524,48513213.0,4894557200,2
sw_l1_801120,食品饮料,801120.SI,515710,食品饮料ETF华宝,食品饮料,3,0.559,31625953.0,1397555793,3
sw_l1_801120,食品饮料,801120.SI,159843,食品饮料ETF招商,食品饮料,3,0.602,11625261.4,409934992,4
sw_l1_801120,食品饮料,801120.SI,159862,食品饮料ETF银华,食品饮料,3,0.613,2766580.6,206887883,5
sw_l1_801140,轻工制造,801140.SI,515730,家居家电ETF永赢,家居,1,0.951,1273847.0,37937292,1
sw_l1_801150,医药生物,801150.SI,159859,生物医药ETF天弘,医药,2,0.397,219966556.1,4028374880,1
sw_l1_801150,医药生物,801150.SI,512290,生物医药ETF国泰,医药,2,0.997,97261460.0,3760505242,2
sw_l1_801150,医药生物,801150.SI,159839,生物医药ETF汇添富,医药,2,0.368,61560002.459,905550542,3
sw_l1_801150,医药生物,801150.SI,159508,生物医药ETF华安,医药,2,0.822,7948783.1,50167974,4
sw_l1_801150,医药生物,801150.SI,512170,医疗ETF华宝,医疗,1,0.339,647152186.0,28533908533,5
sw_l1_801160,公用事业,801160.SI,159611,电力ETF广发,电力,1,1.09,463033877.325,6603615539,1
sw_l1_801160,公用事业,801160.SI,159625,绿色电力ETF嘉实,电力,1,1.283,104095984.6,3067029175,2
sw_l1_801160,公用事业,801160.SI,561560,电力ETF华泰柏瑞,电力,1,1.327,84966383.0,2837954324,3
sw_l1_801160,公用事业,801160.SI,159158,电力ETF景顺,电力,1,1.044,25490113.675,1181322899,4
sw_l1_801160,公用事业,801160.SI,562960,绿色电力ETF易方达,电力,1,1.176,33295520.0,788967825,5
sw_l1_801170,交通运输,801170.SI,516910,物流ETF富国,物流,1,1.229,32348945.0,125532272,1
sw_l1_801170,交通运输,801170.SI,159666,交通运输ETF华夏,交通运输,1,1.035,12507765.1,118852057,2
sw_l1_801170,交通运输,801170.SI,516530,物流ETF银华,物流,1,1.058,1833005.0,19363833,3
sw_l1_801180,房地产,801180.SI,512200,房地产ETF南方,房地产,2,1.329,580280186.0,5786263737,1
sw_l1_801180,房地产,801180.SI,515060,房地产ETF华夏,房地产,2,0.635,29725845.0,602918591,2
sw_l1_801180,房地产,801180.SI,159768,房地产ETF银华,房地产,2,0.486,23863300.302,353297848,3
sw_l1_801180,房地产,801180.SI,159707,地产ETF华宝,地产,1,0.539,50221220.6,562472484,4
sw_l1_801180,房地产,801180.SI,159940,金融地产ETF广发,地产,1,1.182,6228240.6,559156901,5
sw_l1_801210,社会服务,801210.SI,159766,旅游ETF富国,旅游,1,0.686,189852336.367,5820806721,1
sw_l1_801210,社会服务,801210.SI,562510,旅游ETF华夏,旅游,1,0.693,54812000.0,506648841,2
sw_l1_801210,社会服务,801210.SI,513360,教育ETF博时,教育,1,0.496,42718814.0,300434096,3
sw_l1_801780,银行,801780.SI,512800,银行ETF华宝,银行,1,0.805,774452276.0,11925495348,1
sw_l1_801780,银行,801780.SI,515290,银行ETF天弘,银行,1,1.444,24423901.0,4842559262,2
sw_l1_801780,银行,801780.SI,516310,银行ETF易方达,银行,1,1.329,102090964.0,2185618241,3
sw_l1_801780,银行,801780.SI,159887,银行ETF富国,银行,1,1.31,84222959.516,1226966897,4
sw_l1_801780,银行,801780.SI,512700,银行ETF南方,银行,1,1.527,88766422.0,1093455699,5
sw_l1_801790,非银金融,801790.SI,512070,证券保险ETF易方达,证券,2,0.775,297075543.0,15098921702,1
sw_l1_801790,非银金融,801790.SI,515630,证券保险ETF鹏华,证券,2,1.226,21724737.0,826590895,2
sw_l1_801790,非银金融,801790.SI,512880,证券ETF国泰,证券,1,1.025,1277492968.0,51315898874,3
sw_l1_801790,非银金融,801790.SI,513090,香港证券ETF易方达,证券,1,1.709,3463630248.0,21274465883,4
sw_l1_801790,非银金融,801790.SI,159841,证券ETF天弘,证券,1,0.93,234657534.8,10366931712,5
sw_l1_801710,建筑材料,801710.SI,159745,建材ETF国泰,建材,1,0.66,87566542.1,1691374260,1
sw_l1_801710,建筑材料,801710.SI,516750,建材ETF富国,建材,1,0.72,11452916.0,112080456,2
sw_l1_801710,建筑材料,801710.SI,159787,建材ETF易方达,建材,1,0.724,7477939.3,96669662,3
sw_l1_801720,建筑装饰,801720.SI,516970,基建ETF广发,基建,1,1.201,32129106.0,1878415038,1
sw_l1_801720,建筑装饰,801720.SI,516950,基建ETF银华,基建,1,1.142,11070323.0,160817582,2
sw_l1_801720,建筑装饰,801720.SI,159635,基建ETF华夏,基建,1,1.096,13272315.5,126968290,3
sw_l1_801720,建筑装饰,801720.SI,159619,基建ETF国泰,基建,1,1.036,4328065.22,107724323,4
sw_l1_801730,电力设备,801730.SI,159326,电网设备ETF华夏,电网设备,1,1.835,1170221174.803,29894472259,1
sw_l1_801730,电力设备,801730.SI,159755,电池ETF广发,电池,1,1.074,470469756.618,11849062509,2
sw_l1_801730,电力设备,801730.SI,515790,光伏ETF华泰柏瑞,光伏,1,1.007,458018539.0,10335338345,3
sw_l1_801730,电力设备,801730.SI,159796,电池ETF汇添富,电池,1,0.946,222760557.945,7218422334,4
