industry_id,display_name_cn,sw_code,object_kind,market_scope,layer_id,heat_keywords,status
sw_l1_801010,农林牧渔,801010.SI,industry,A_share,coverage_backbone,"农林牧渔;养殖;猪;渔业;种植;春耕",active
sw_l1_801030,基础化工,801030.SI,industry,A_share,coverage_backbone,"基础化工;化工;化学;农药;化肥;化纤",active
sw_l1_801040,钢铁,801040.SI,industry,A_share,coverage_backbone,"钢铁;普钢;特钢",active
sw_l1_801050,有色金属,801050.SI,industry,A_share,coverage_backbone,"有色金属;有色;小金属;工业金属;贵金属",active
sw_l1_801080,电子,801080.SI,industry,A_share,coverage_backbone,"电子;半导体;元件;消费电子;光学光电子;先进制程",active
sw_l1_801880,汽车,801880.SI,industry,A_share,coverage_backbone,"汽车;整车;汽配;汽车零部件;摩托车",active
sw_l1_801110,家用电器,801110.SI,industry,A_share,coverage_backbone,"家用电器;家电;白色家电;黑色家电;厨卫",active
sw_l1_801120,食品饮料,801120.SI,industry,A_share,coverage_backbone,"食品饮料;食品;饮料;白酒;啤酒",active
sw_l1_801130,纺织服饰,801130.SI,industry,A_share,coverage_backbone,"纺织服饰;纺织;服饰;服装;家纺",active
sw_l1_801140,轻工制造,801140.SI,industry,A_share,coverage_backbone,"轻工制造;轻工;造纸;包装;家居",active
sw_l1_801150,医药生物,801150.SI,industry,A_share,coverage_backbone,"医药生物;医药;生物;医疗;中药;化学制药",active
sw_l1_801160,公用事业,801160.SI,industry,A_share,coverage_backbone,"公用事业;电力;燃气;水务",active
sw_l1_801170,交通运输,801170.SI,industry,A_share,coverage_backbone,"交通运输;物流;航运;机场;铁路",active
sw_l1_801180,房地产,801180.SI,industry,A_share,coverage_backbone,"房地产;地产;开发;物业",active
sw_l1_801200,商贸零售,801200.SI,industry,A_share,coverage_backbone,"商贸零售;零售;百货;电商;商业连锁;消费品",active
sw_l1_801210,社会服务,801210.SI,industry,A_share,coverage_backbone,"社会服务;旅游;酒店;教育;景点;文旅",active
sw_l1_801780,银行,801780.SI,industry,A_share,coverage_backbone,"银行",active
sw_l1_801790,非银金融,801790.SI,industry,A_share,coverage_backbone,"非银金融;证券;保险;多元金融",active
sw_l1_801230,综合,801230.SI,industry,A_share,coverage_backbone,"综合",active
sw_l1_801710,建筑材料,801710.SI,industry,A_share,coverage_backbone,"建筑材料;建材;水泥;玻璃玻纤",active
sw_l1_801720,建筑装饰,801720.SI,industry,A_share,coverage_backbone,"建筑装饰;基建;工程咨询;装修",active
sw_l1_801730,电力设备,801730.SI,industry,A_share,coverage_backbone,"电力设备;光伏;风电;电池;电网设备;储能;电芯",active
sw_l1_801890,机械设备,801890.SI,industry,A_share,coverage_backbone,"机械设备;机械;自动化设备;专用设备;工程机械;机器人",active
sw_l1_801740,国防军工,801740.SI,industry,A_share,coverage_backbone,"国防军工;军工;国防;导弹;军队;武装;空袭",active
sw_l1_801750,计算机,801750.SI,industry,A_share,coverage_backbone,"计算机;软件;IT服务;数据中心;算力",active
sw_l1_801760,传媒,801760.SI,industry,A_share,coverage_backbone,"传媒;游戏;影视;广告营销;出版;电影;票房",active
sw_l1_801770,通信,801770.SI,industry,A_share,coverage_backbone,"通信;运营商;通信设备;光通信",active
sw_l1_801950,煤炭,801950.SI,industry,A_share,coverage_backbone,"煤炭",active
sw_l1_801960,石油石化,801960.SI,industry,A_share,coverage_backbone,"石油石化;油气;炼化;油服;油田",active
sw_l1_801970,环保,801970.SI,industry,A_share,coverage_backbone,"环保;环境治理",active
sw_l1_801980,美容护理,801980.SI,industry,A_share,coverage_backbone,"美容护理;化妆品;个护",active
