industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,603477,巨星农牧,17.03,10.01,571880602.0,6.79,0.939252,True,1
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,000592,平潭发展,12.57,4.58,6231981756.07,26.01,0.892523,False,2
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,300871,回盛生物,26.48,6.73,664301524.46,12.4,0.868224,False,3
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,300189,神农种业,6.63,-4.33,620967168.93,10.32,0.846729,False,4
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,600195,中牧股份,8.12,7.12,439262994.0,5.34,0.821495,False,5
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,300834,星辉环材,43.49,20.01,939894278.27,11.65,0.973394,True,1
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,002263,大东南,4.73,10.0,2576541151.52,30.11,0.894266,False,2
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,002455,百川股份,13.29,-3.97,1579347537.81,17.73,0.881651,False,3
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,300731,科创新源,61.03,-7.81,694585678.0,9.42,0.850688,False,4
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,002361,神剑股份,17.29,1.71,5977900915.51,42.44,0.844954,False,5
sw_l1_801040,钢铁,801040.SI,钢铁,BK0479,279,-1.68,大中矿业,001203,大中矿业,40.71,2.85,1188605012.72,2.25,0.952273,True,1
