industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801010,农林牧渔,801010.SI,农林牧渔,BK0433,47,0.5,巨星农牧,603477,巨星农牧,17.03,10.01,571880602.0,6.79,0.939252,True,1
sw_l1_801030,基础化工,801030.SI,基础化工,BK1206,241,-1.5,星辉环材,300834,星辉环材,43.49,20.01,939894278.27,11.65,0.973394,True,1
sw_l1_801040,钢铁,801040.SI,钢铁,BK0479,279,-1.68,大中矿业,001203,大中矿业,40.71,2.85,1188605012.72,2.25,0.952273,True,1
sw_l1_801050,有色金属,801050.SI,有色金属,BK0478,355,-2.05,西藏矿业,000762,西藏矿业,31.26,9.99,1982438829.52,12.42,0.902113,True,1
sw_l1_801080,电子,801080.SI,电子,BK1201,432,-2.7,光莆股份,002273,水晶光电,24.84,6.98,3257158031.09,9.55,0.868712,False,1
sw_l1_801880,汽车,801880.SI,汽车,BK1211,227,-1.46,川环科技,300547,川环科技,35.29,10.91,1036847490.32,16.76,0.978931,True,1
sw_l1_801110,家用电器,801110.SI,家用电器,BK0456,235,-1.48,立达信,300342,天银机电,56.0,5.28,3441827382.08,15.03,0.894762,False,1
sw_l1_801120,食品饮料,801120.SI,食品饮料,BK0438,99,-0.4,紫燕食品,600186,莲花控股,7.08,-3.41,1452176017.0,11.36,0.882114,False,1
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,605055,迎丰股份,10.65,5.76,155855399.0,3.4,0.9,True,1
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,603863,松炀资源,17.25,10.01,245574060.0,7.11,0.929268,True,1
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,603538,美诺华,42.32,6.36,3905407481.0,43.8,0.891039,False,1
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,000155,川能动力,16.97,9.98,1464253494.7,4.86,0.919286,True,1
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,601872,招商轮船,19.47,8.17,6428486573.0,4.09,0.993182,True,1
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,600791,京能置业,10.7,6.79,315292701.0,6.68,0.939583,True,1
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,300022,吉峰科技,10.2,6.81,403458437.64,8.13,0.969,True,1
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,600754,锦江酒店,28.15,-3.6,509367286.0,1.99,0.84321,False,1
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,601288,农业银行,6.92,3.44,3860679040.0,0.18,0.913095,True,1
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,300059,东方财富,18.75,-2.29,3391422872.83,1.35,0.860759,False,1
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,000753,漳州发展,7.32,3.54,555196246.92,7.73,0.910526,True,1
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,603256,宏和科技,68.36,-6.27,1722129630.0,2.86,0.876,False,1
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,002051,中工国际,9.91,9.99,864614895.42,7.31,0.945752,True,1
sw_l1_801730,电力设备,801730.SI,电力设备,BK1200,360,-2.09,新能泰山,000720,新能泰山,5.4,9.98,1370324228.84,20.52,0.922506,True,1
sw_l1_801890,机械设备,801890.SI,机械设备,BK1205,278,-1.68,必创科技,300667,必创科技,17.78,12.11,415733960.5,13.99,0.916047,True,1
sw_l1_801740,国防军工,801740.SI,国防军工,BK1204,336,-1.91,雷科防务,002413,雷科防务,13.58,3.74,3021552725.86,16.8,0.983459,True,1
sw_l1_801750,计算机,801750.SI,计算机,BK1207,445,-2.84,友车科技,300017,网宿科技,16.55,-6.66,3723692475.18,9.65,0.888372,False,1
sw_l1_801760,传媒,801760.SI,传媒,BK0486,423,-2.54,内蒙新华,300058,蓝色光标,13.86,-5.0,4086455934.22,8.41,0.890244,False,1
sw_l1_801770,通信,801770.SI,通信,BK1215,305,-1.79,汇源通信,688313,仕佳光子,92.8,4.41,5488166875.0,12.92,0.842742,False,1
sw_l1_801950,煤炭,801950.SI,煤炭,BK0437,45,0.52,中煤能源,601898,中煤能源,17.91,3.77,820009134.0,0.5,0.86875,True,1
sw_l1_801960,石油石化,801960.SI,石油石化,BK0464,10,2.99,博汇股份,600759,洲际油气,5.89,4.99,3729409409.0,15.36,0.86875,False,1
sw_l1_801970,环保,801970.SI,环保,BK0728,276,-1.67,万德斯,000890,法尔胜,15.9,3.92,1533473474.79,23.33,0.891538,False,1
sw_l1_801980,美容护理,801980.SI,美容护理,BK1035,157,-0.97,延江股份,300658,延江股份,25.79,6.92,997743951.5,16.94,0.996774,True,1
