overlay_id,industry_id,role,confidence
theme_pork_cycle,sw_l1_801010,primary,1.0
chain_solar_pv,sw_l1_801730,primary,0.95
chain_solar_pv,sw_l1_801030,supporting,0.75
chain_solar_pv,sw_l1_801080,supporting,0.7
chain_solar_pv,sw_l1_801890,supporting,0.7
theme_ai_compute,sw_l1_801750,primary,0.95
theme_ai_compute,sw_l1_801770,primary,0.95
theme_ai_compute,sw_l1_801080,supporting,0.8
theme_ai_compute,sw_l1_801730,supporting,0.7
theme_ai_compute,sw_l1_801890,supporting,0.7
theme_broker_cycle,sw_l1_801790,primary,1.0
theme_broker_cycle,sw_l1_801780,supporting,0.6
chain_coal_chemical,sw_l1_801950,primary,0.85
chain_coal_chemical,sw_l1_801960,primary,0.85
chain_coal_chemical,sw_l1_801030,supporting,0.7
theme_shipping_cycle,sw_l1_801170,primary,1.0
theme_innovative_drug,sw_l1_801150,primary,1.0
theme_power_grid,sw_l1_801730,primary,0.95
theme_power_grid,sw_l1_801160,supporting,0.7
theme_aerospace,sw_l1_801740,primary,0.95
